2026-06-07 00:10:57,702 [INFO] ==================================================
2026-06-07 00:10:57,702 [INFO] Bot BTC/USDT 5m iniciando...
2026-06-07 00:11:12,643 [ERROR] [Telegram] Error al enviar mensaje: 400 Client Error: Bad Request for url: https://api.telegram.org/bot8963387948:AAFT3dPT-rJ9I-hsdGsidIqQMp-HROgd1e4/sendMessage
2026-06-07 00:11:13,932 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:11:44,622 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:12:15,868 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:12:46,565 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:13:17,224 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:13:47,910 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:14:18,603 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:17:24,869 [INFO] ==================================================
2026-06-07 00:17:24,869 [INFO] Bot BTC/USDT 5m iniciando...
2026-06-07 00:17:27,719 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:17:58,390 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:18:29,072 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:19:00,032 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:19:30,694 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:20:01,929 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:20:32,647 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:21:03,323 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:21:34,586 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:22:05,257 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:22:36,478 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:23:07,162 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:23:37,810 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
